"","kabupaten_kota","umbi_umbian","ketala_pohon_singkong","ketela_rambat_ubi_jalar","sagu_bukan_dari_ketela_pohon","talas_keladi","kentang","gaplek","umbi_umbian_lainnya"
"68","Pasaman Barat",1260,121,145,NA,13,968,15,NA
"69","Kota Padang",1995,70,198,NA,35,1674,8,9
"70","Kota Solok",1726,100,145,NA,16,1461,2,2
"71","Kota Sawah Lunto",2271,255,302,2,16,1696,NA,NA
"72","Kota Padang Panjang",1908,59,175,NA,31,1627,16,NA
"73","Kota Bukittinggi",2228,123,292,4,10,1788,11,NA
"74","Kota Payakumbuh",1621,102,106,NA,25,1382,6,NA
"75","Kota Pariaman",1493,145,230,11,37,1053,14,2
"76","Kuantan Singingi",1949,437,280,2,55,1152,10,13
"77","Indragiri Hulu",1962,446,219,6,42,1232,17,NA
"78","Indragiri Hilir",1864,443,241,101,108,944,6,20
"79","Pelalawan",2295,437,227,15,88,1508,19,NA
"80","Siak",1587,280,149,13,24,1118,3,NA
"81","Kampar",2069,405,202,NA,80,1363,12,8
"82","Rokan Hulu",1738,246,152,2,39,1297,2,NA
"83","Bengkalis",1763,455,227,20,49,1002,9,NA
"84","Rokan Hilir",1979,308,260,7,171,1202,31,NA
"85","Kepulauan Meranti",1926,585,177,190,74,874,3,24
"86","Kota Pekanbaru",1707,160,146,3,34,1360,4,NA
"87","Kota Dumai",1573,264,159,2,51,1083,NA,14
"88","Kerinci",3154,154,98,NA,121,2742,38,1
"89","Merangin",1873,348,232,9,24,1238,16,6
"90","Sarolangun",1682,512,214,4,28,910,15,NA
"91","Batang Hari",1466,447,269,NA,8,736,5,2
"92","Muaro Jambi",2349,595,357,NA,26,1284,39,49
"93","Tanjung Jabung Timur",2414,643,305,NA,117,1319,16,15
"94","Tanjung Jabung Barat",1768,405,283,4,34,1042,NA,NA
"95","Tebo",1850,451,278,3,79,1027,13,NA
"96","Bungo",1740,415,272,2,18,1028,4,NA
"97","Kota Jambi",2066,380,287,39,32,1256,17,54
"98","Kota Sungai Penuh",2714,141,123,1,58,2365,25,NA
"99","Ogan Komering Ulu",1378,442,277,6,11,449,22,171
"100","Ogan Komering Ilir",1549,538,350,30,35,478,24,94
"101","Muara Enim",1389,465,211,65,21,554,7,66
