"","kabupaten_kota","kacang_kacangan","kacang_tanah_tanpa_kulit","kacang_kedele","kacang_lainnya","tahu","tempe","oncom","hasil_lain_dari_kacang_kacangan"
"429","Wakatobi",611,40,NA,30,240,301,NA,NA
"430","Kolaka Utara",1530,278,10,42,557,644,NA,NA
"431","Buton Utara",975,127,NA,10,381,458,NA,NA
"432","Konawe Utara",1898,257,NA,68,828,745,NA,NA
"433","Kolaka Timur",2107,124,5,25,946,994,NA,13
"434","Konawe Kepulauan",831,57,NA,13,338,424,NA,NA
"435","Muna Barat",1327,235,1,10,526,556,NA,NA
"436","Buton Tengah",1497,10,NA,25,748,714,NA,1
"437","Buton Selatan",806,28,5,4,374,395,NA,NA
"438","Kota Kendari",2323,94,NA,17,862,1347,NA,3
"439","Kota Baubau",1377,66,6,29,529,747,NA,NA
"440","Boalemo",1711,175,NA,17,960,558,NA,NA
"441","Gorontalo",1927,335,3,86,999,502,1,NA
"442","Pohuwato",1330,253,2,36,686,345,7,NA
"443","Bone Bolango",1396,201,14,21,738,422,NA,NA
"444","Gorontalo Utara",1370,429,48,15,589,289,NA,NA
"445","Kota Gorontalo",1507,80,3,27,808,590,NA,NA
"446","Majene",1655,254,NA,87,526,774,NA,14
"447","Polewali Mandar",1525,86,2,78,446,911,2,NA
"448","Mamasa",1162,300,4,15,369,473,1,NA
"449","Mamuju",1543,102,17,40,678,699,6,NA
"450","Mamuju Utara",2418,255,NA,110,1006,1046,NA,NA
"451","Mamuju Tengah",2359,137,4,23,1056,1136,1,1
"452","Maluku Tenggara Barat",1121,274,NA,302,297,248,NA,NA
"453","Maluku Tenggara",831,49,NA,52,391,339,NA,NA
"454","Maluku Tengah",1673,265,2,31,782,573,15,5
"455","Buru",2278,352,NA,42,1014,861,8,NA
"456","Kepulauan Aru",572,54,NA,69,199,250,NA,NA
"457","Seram Bagian Barat",870,155,NA,62,362,291,NA,NA
"458","Seram Bagian Timur",802,239,NA,57,298,208,NA,NA
"459","Maluku Barat Daya",1870,359,29,826,315,341,NA,NA
"460","Buru Selatan",707,245,3,14,258,188,NA,NA
"461","Kota Ambon",2193,142,3,88,989,955,NA,17
"462","Kota Tual",790,9,4,22,364,392,NA,NA
"463","Halmahera Barat",1569,153,5,77,978,350,NA,5
"464","Halmahera Tengah",862,127,NA,32,481,222,NA,NA
"465","Kepulauan Sula",581,19,NA,70,352,134,NA,6
"466","Halmahera Selatan",692,186,NA,20,353,133,NA,NA
"467","Halmahera Utara",1710,339,NA,97,841,432,NA,NA
"468","Halmahera Timur",2319,463,NA,38,1125,670,NA,23
"469","Pulau Morotai",1570,423,NA,6,833,308,NA,NA
"470","Pulau Taliabu",178,37,NA,NA,96,45,NA,NA
"471","Kota Ternate",1540,43,NA,8,812,677,NA,NA
"472","Kota Tidore Kepulauan",1923,447,9,36,959,448,NA,25
"473","Fakfak",1998,115,NA,54,754,1075,NA,NA
"474","Kaimana",1271,109,NA,53,509,601,NA,NA
"475","Teluk Wondama",1624,118,NA,30,792,669,13,3
"476","Teluk Bintuni",3393,165,NA,38,1695,1495,NA,NA
"477","Manokwari",3059,106,4,31,1529,1370,4,16
"478","Sorong Selatan",811,172,NA,15,322,287,NA,13
"479","Sorong",3027,117,4,53,1463,1386,4,NA
"480","Raja Ampat",1184,252,NA,20,502,402,7,NA
"481","Tambrauw",830,141,NA,44,430,215,NA,NA
"482","Maybrat",1855,1189,NA,136,378,152,NA,NA
"483","Manokwari Selatan",2851,438,NA,29,1555,829,NA,NA
"484","Pegunungan Arfak",990,335,NA,339,206,111,NA,NA
"485","Kota Sorong",2665,169,12,150,1190,1142,2,NA
"486","Merauke",4416,100,NA,23,2256,2017,21,NA
"487","Jayawijaya",2568,27,NA,81,1405,1055,NA,NA
"488","Jayapura",3565,180,10,77,2084,1205,9,NA
"489","Nabire",4651,199,7,7,2586,1834,18,1
"490","Kepulauan Yapen",2401,43,10,9,1468,870,NA,NA
"491","Biak Numfor",2368,37,NA,44,1349,906,16,15
"492","Paniai",4038,NA,NA,492,3546,NA,NA,NA
"493","Puncak Jaya",987,644,NA,NA,343,NA,NA,NA
"494","Mimika",2915,88,NA,48,1427,1352,NA,NA
"495","Boven Digoel",1816,5,NA,NA,904,907,NA,NA
"496","Mappi",577,30,NA,11,283,252,NA,NA
"497","Asmat",467,3,14,55,173,221,NA,NA
"498","Yahukimo",613,10,17,383,176,27,NA,NA
"499","Pegunungan Bintang",1339,435,427,NA,209,267,NA,NA
"500","Tolikara",3394,2678,NA,NA,653,63,NA,NA
"501","Sarmi",1568,NA,NA,NA,837,731,NA,NA
"502","Keerom",3812,14,NA,18,2053,1709,17,NA
"503","Waropen",2427,18,NA,22,1390,997,NA,NA
"504","Supiori",1980,11,NA,6,1174,789,NA,NA
"505","Mamberamo Raya",751,31,NA,43,223,454,NA,NA
"506","Nduga",4635,1001,NA,NA,764,2840,30,NA
"507","Lanny Jaya",93,NA,10,NA,82,NA,NA,NA
"508","Mamberamo Tengah",402,402,NA,NA,NA,1,NA,NA
"509","Yalimo",2949,1035,NA,762,1125,27,0,NA
"510","Puncak",328,NA,7,NA,61,260,NA,NA
"511","Dogiyai",1112,232,47,225,473,135,NA,NA
"512","Intan Jaya",554,NA,NA,NA,503,51,NA,NA
"513","Deiyai",750,NA,NA,83,667,NA,NA,NA
"514","Kota Jayapura",3134,55,NA,14,1924,1141,NA,NA
