"","kabupaten_kota","makanan_dan_minuman_jadi","roti_tawar","roti_manis_roti_lainnya","kue_kering_biskuit_semprong","kue_basah_kue_lapis_bika_ambon_lemper_dsb","makanan_gorengan","bubur_kacang_hijau","gado_gado_ketoprak_pecel","nasi_campur_rames","nasi_goreng","nasi_putih","lontong_ketupat_sayur","soto_gule_sop_rawon_cincang","sayur_matang_ditumis_disantan_dsb","sate_tongseng","mie_bakso_mie_rebus_mie_goreng","mie_instan","makanan_ringan_anak_anak_krupuk_kripik","ikan_matang","ayam_daging_matang_ayam_goreng_rendang_dsb","daging_olahan_sosis_nugget_daging_asap_dsb_matang","bubur_ayam","siomay_batagor","makanan_jadi_lainnya","air_kemasan","air_kemasan_galon","air_teh_kemasan_minuman_bersoda_mengandung_co2","sari_buah_kemasan_minuman_kesehatan_minuman_berenergi","minuman_jadi_kopi_kopi_susu_teh_susu_coklat_dsb","es_krim","es_lainnya","minuman_keras"
"481","Tambrauw",16377,322,2160,2270,1001,810,128,32,1105,52,81,NA,NA,29,18,2742,10,1095,119,277,145,34,NA,200,38,233,720,455,349,122,401,1431
"482","Maybrat",30262,400,1420,1822,698,1295,306,128,6762,805,1155,1,35,770,181,2480,91,695,918,1055,52,99,56,652,1788,960,1030,530,1852,555,436,1234
"483","Manokwari Selatan",30036,334,1473,1149,1967,2182,413,681,3077,634,760,8,461,1187,796,3738,146,1816,803,570,61,52,423,190,1763,1216,1869,635,404,478,525,225
"484","Pegunungan Arfak",11681,96,1145,1204,214,1152,1,7,2196,288,18,NA,NA,65,9,1492,212,485,27,41,62,6,10,71,1229,439,586,319,233,NA,75,NA
"485","Kota Sorong",51620,991,2045,1307,3467,1687,476,1159,13069,1932,509,57,556,801,449,4459,171,1532,1030,704,210,692,1105,1475,2582,3902,620,1327,1188,895,695,526
"486","Merauke",40820,305,1389,1071,1961,2621,518,2125,4023,1994,170,248,763,766,595,5227,117,1707,325,638,525,460,205,1319,2631,2931,2354,789,1627,506,490,418
"487","Jayawijaya",9386,148,174,496,162,841,1,64,325,253,NA,6,1279,203,1169,376,9,179,45,1197,17,10,37,73,143,1776,181,44,119,47,9,NA
"488","Jayapura",29286,510,1366,896,1456,1529,387,712,4500,1184,103,277,821,243,738,2655,251,616,87,430,160,332,538,894,1465,2475,1124,519,1141,469,402,1006
"489","Nabire",46617,718,2164,609,2510,3157,813,1919,5472,2696,268,494,750,564,477,6887,562,1083,252,611,679,639,685,718,2036,4081,1169,728,1293,609,1592,383
"490","Kepulauan Yapen",23333,233,923,350,1272,2534,218,1010,4997,795,145,121,331,398,1052,1560,147,395,397,43,15,97,13,1347,519,986,380,322,1385,130,404,814
"491","Biak Numfor",23619,664,742,836,2264,1817,236,672,2160,772,93,104,382,173,207,2758,254,594,97,368,57,392,130,1043,1342,2362,694,456,816,205,449,480
"492","Paniai",616,NA,34,3,14,38,1,NA,67,NA,7,NA,NA,86,NA,51,NA,132,33,104,NA,NA,NA,NA,NA,NA,NA,3,28,NA,14,NA
"493","Puncak Jaya",8044,144,1767,2741,9,1312,44,NA,NA,96,NA,NA,203,NA,NA,123,NA,157,NA,NA,NA,44,NA,NA,NA,164,68,NA,1173,NA,NA,NA
"494","Mimika",43653,733,2085,803,1703,2462,771,1470,6731,2821,975,55,744,578,426,4071,342,1221,1147,691,170,578,167,1631,1459,3853,1398,1060,1485,1021,837,165
"495","Boven Digoel",17275,267,570,668,815,927,55,330,1447,300,268,NA,116,203,13,1224,107,442,492,1754,33,NA,101,299,1592,1550,948,533,1159,84,162,815
"496","Mappi",10514,279,510,810,630,1470,49,244,1430,481,181,NA,53,45,NA,1092,71,444,124,267,12,58,30,314,765,332,359,111,233,92,30,NA
"497","Asmat",22974,46,722,2009,1406,3627,135,233,1083,997,30,NA,271,16,103,469,7,1147,435,160,1,NA,NA,355,5657,92,2214,1175,485,22,77,NA
"498","Yahukimo",989,NA,NA,60,42,2,NA,NA,356,5,NA,NA,NA,NA,NA,5,NA,2,NA,3,NA,NA,NA,34,138,261,38,28,NA,NA,15,NA
"499","Pegunungan Bintang",17629,1,2153,3866,1292,2630,NA,47,1513,NA,398,NA,22,16,111,190,446,3989,NA,20,NA,NA,17,NA,43,NA,178,NA,698,NA,NA,NA
"500","Tolikara",4750,NA,97,1583,42,533,NA,NA,144,NA,68,NA,NA,39,NA,461,NA,917,NA,182,NA,NA,NA,NA,278,NA,117,51,238,NA,NA,NA
"501","Sarmi",26555,91,1586,406,684,1763,276,686,2052,2021,1409,NA,1062,1003,857,2024,71,1067,1261,638,79,558,35,484,1415,1743,1079,423,1095,540,150,NA
"502","Keerom",20965,252,608,1291,1681,1204,106,814,2192,413,219,84,254,222,265,4292,117,483,97,285,42,93,249,635,452,2809,792,168,424,204,146,72
"503","Waropen",14306,302,907,808,683,1726,17,762,480,566,71,58,328,68,46,1699,41,610,466,942,31,10,NA,39,625,1458,687,225,364,4,128,157
"504","Supiori",19039,197,1249,1020,1265,644,NA,7,3620,112,843,NA,261,118,262,1985,217,772,819,286,5,15,NA,87,1276,591,571,381,1882,65,203,286
"505","Mamberamo Raya",26681,1,1536,1383,1448,3425,149,NA,4384,233,1457,NA,225,660,225,2344,196,2870,2705,379,6,NA,NA,NA,492,632,1433,228,236,NA,NA,35
