"","kabupaten_kota","ikan","ekor_kuning","tongkol_tuna_cakalang_dencis_ikan_kayu","tenggiri","selar","kembung_lema_tatare_banyar_banyara","teri","bandeng","gabus","mujair","mas_nila","lele","kakap","baronang","patin","bawal","gurame","ikan_segar_basah_lainnya","udang_lobster","cumi_cumi_sotong_gurita","ketam_kepiting_rajungan","kerang_siput_bekicot_remis","udang_dan_hewan_air_lainnya_yang_segar_lainnya","kembung_diawetkan_peda","tenggiri_diawetkan","tongkol_tuna_cakalang_diawetkan","teri_diawetkan","selar_diawetkan","sepat_diawetkan","bandeng_diawetkan","gabus_diawetkan","ikan_dalam_kaleng_sardencis_tuna_dalam_kaleng_dsb","ikan_diawetkan_lainnya","udang_diawetkan_ebi_rebon","cumi_cumi_sotong_gurita_diawetkan","udang_dan_hewan_air_lainnya_yang_diawetkan"
"471","Kota Ternate",19865,2324,7844,100,2180,1588,343,22,NA,116,65,NA,261,91,NA,NA,64,2556,278,324,11,2,0,NA,6,901,550,NA,NA,NA,NA,4,222,NA,13,NA
"472","Kota Tidore Kepulauan",22379,2462,7934,529,1889,1307,183,56,NA,83,NA,NA,238,35,12,NA,NA,4277,190,363,NA,12,NA,36,50,1417,667,8,NA,NA,NA,38,545,39,12,NA
"473","Fakfak",22129,1140,4470,437,1291,3796,1036,22,1,42,157,173,3874,893,35,1107,98,1112,833,448,222,97,33,1,242,216,122,32,NA,0,NA,64,109,NA,NA,26
"474","Kaimana",18831,1580,2912,428,72,2930,319,11,29,75,10,129,3735,46,16,13,59,3291,1197,868,555,225,6,17,91,3,27,15,NA,NA,NA,49,124,NA,NA,NA
"475","Teluk Wondama",26788,1595,3484,559,1257,3166,560,84,361,256,NA,1047,4152,655,2,639,32,2415,1432,1170,1114,936,319,48,12,110,21,18,NA,NA,NA,473,869,NA,NA,NA
"476","Teluk Bintuni",26976,3102,1990,202,34,3510,166,236,409,3575,314,640,1969,7,46,175,205,4693,3617,104,459,265,43,22,108,133,338,89,2,29,4,152,332,4,2,NA
"477","Manokwari",17251,2896,6134,87,174,1241,224,73,304,1318,91,560,847,155,NA,NA,17,949,701,606,85,131,NA,12,2,96,188,17,115,NA,3,163,59,1,NA,3
"478","Sorong Selatan",23387,1189,767,89,452,1436,56,183,3002,853,480,618,1013,39,NA,251,147,5894,4078,247,1420,719,42,NA,NA,54,64,NA,NA,NA,38,43,208,NA,7,NA
"479","Sorong",17799,1080,3208,195,283,3724,1109,49,541,531,554,676,751,285,NA,10,NA,1748,870,580,212,7,112,154,82,384,319,105,6,NA,NA,6,219,NA,NA,NA
"480","Raja Ampat",20596,1215,4087,925,320,1415,376,20,55,62,12,75,5344,1751,31,703,178,532,974,989,385,453,163,73,81,84,160,NA,NA,NA,NA,6,109,6,9,4
"481","Tambrauw",14723,1509,3527,345,28,1070,17,93,1133,2381,246,1529,489,NA,NA,41,66,1883,29,NA,NA,NA,NA,NA,38,24,49,NA,NA,NA,21,203,NA,NA,NA,NA
"482","Maybrat",31988,2828,1067,32,8,2422,44,229,2664,4616,11733,1369,644,NA,NA,4,NA,3766,343,81,NA,NA,NA,NA,NA,32,33,NA,NA,NA,3,21,49,NA,NA,NA
"483","Manokwari Selatan",17751,1501,5290,661,727,2253,3,42,156,1363,63,248,2062,65,NA,NA,NA,775,1209,320,147,122,11,4,NA,195,54,3,NA,NA,NA,476,NA,NA,NA,NA
"484","Pegunungan Arfak",5960,529,290,NA,NA,49,NA,110,14,2453,636,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,55,NA,NA,NA,6,1599,40,NA,NA,NA
"485","Kota Sorong",23421,2419,5469,387,901,4800,1697,111,43,36,13,54,2007,133,10,60,15,1410,1562,937,489,21,104,81,43,198,169,NA,NA,46,NA,58,124,0,19,5
"486","Merauke",19689,24,456,24,55,1549,46,1196,1015,5226,482,71,1803,18,NA,114,66,2710,2339,1137,309,23,26,NA,NA,NA,60,12,25,28,5,439,426,NA,NA,6
"487","Jayawijaya",15159,3185,435,9,NA,2044,125,301,NA,3647,894,916,NA,NA,NA,NA,NA,414,238,43,NA,NA,NA,NA,5,NA,20,NA,NA,NA,12,2871,NA,NA,NA,NA
"488","Jayapura",22137,4578,3033,369,35,2540,214,302,576,5762,407,332,345,7,NA,72,33,1746,630,561,NA,23,NA,114,NA,59,32,14,NA,1,55,220,56,1,NA,20
"489","Nabire",29958,5382,3256,1015,490,6887,884,655,794,1417,996,1427,1785,67,20,279,61,1463,556,627,555,129,221,395,6,69,203,NA,12,NA,NA,256,3,3,NA,47
"490","Kepulauan Yapen",28889,3519,5705,1609,1035,6324,987,131,20,19,NA,23,752,610,74,314,24,3115,384,1818,132,170,48,22,63,1545,144,7,NA,NA,NA,114,139,NA,13,28
"491","Biak Numfor",19469,2545,5309,405,261,574,131,171,NA,27,0,174,1754,1056,1,1,33,3987,273,986,409,429,132,1,NA,343,32,2,22,NA,NA,209,157,1,45,NA
"492","Paniai",6541,NA,NA,NA,NA,NA,NA,NA,NA,2755,2021,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1717,NA,NA,NA,NA
"493","Puncak Jaya",12737,758,NA,NA,NA,930,186,NA,NA,4462,NA,879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,5315,NA,NA,NA,NA
"494","Mimika",26228,1185,3338,246,9,5374,109,975,593,1773,362,539,2538,2,33,1113,304,2091,1847,990,1519,295,81,62,22,61,527,35,20,NA,4,106,69,7,NA,NA
"495","Boven Digoel",17175,102,2066,NA,82,1621,93,434,2415,2746,39,597,1194,1,NA,4,890,2466,1265,120,NA,NA,17,NA,NA,100,248,NA,NA,NA,113,467,92,4,NA,NA
