"","kabupaten_kota","ikan","ekor_kuning","tongkol_tuna_cakalang_dencis_ikan_kayu","tenggiri","selar","kembung_lema_tatare_banyar_banyara","teri","bandeng","gabus","mujair","mas_nila","lele","kakap","baronang","patin","bawal","gurame","ikan_segar_basah_lainnya","udang_lobster","cumi_cumi_sotong_gurita","ketam_kepiting_rajungan","kerang_siput_bekicot_remis","udang_dan_hewan_air_lainnya_yang_segar_lainnya","kembung_diawetkan_peda","tenggiri_diawetkan","tongkol_tuna_cakalang_diawetkan","teri_diawetkan","selar_diawetkan","sepat_diawetkan","bandeng_diawetkan","gabus_diawetkan","ikan_dalam_kaleng_sardencis_tuna_dalam_kaleng_dsb","ikan_diawetkan_lainnya","udang_diawetkan_ebi_rebon","cumi_cumi_sotong_gurita_diawetkan","udang_dan_hewan_air_lainnya_yang_diawetkan"
"299","Alor",11899,288,1253,62,1402,152,183,15,NA,42,97,46,1174,177,NA,NA,NA,4853,309,908,122,189,NA,9,10,24,38,25,NA,NA,NA,NA,500,NA,18,6
"300","Lembata",10101,242,960,83,2927,784,16,32,NA,6,7,10,1427,682,7,NA,19,1406,21,283,64,99,NA,5,NA,29,110,255,NA,NA,NA,NA,537,NA,56,34
"301","Flores Timur",10023,342,2489,56,2492,1440,126,20,NA,NA,NA,NA,464,899,7,24,NA,419,NA,301,13,5,NA,22,6,92,249,122,86,1,NA,NA,339,NA,11,1
"302","Sikka",8614,118,1641,21,2596,1021,160,NA,NA,NA,NA,106,112,NA,NA,NA,100,1454,34,261,5,24,NA,53,5,34,370,143,NA,NA,NA,NA,309,NA,43,4
"303","Ende",12311,1259,3309,232,1379,1675,187,98,4,13,2,3,120,39,2,NA,8,2563,43,130,5,NA,43,NA,4,40,824,7,NA,NA,NA,NA,321,NA,NA,NA
"304","Ngada",11459,777,1415,150,388,774,43,NA,NA,19,41,NA,188,218,NA,NA,NA,5363,111,455,7,22,54,72,99,114,762,61,NA,NA,NA,NA,285,NA,1,39
"305","Manggarai",8457,321,2325,10,NA,83,51,35,NA,NA,NA,NA,17,176,NA,NA,8,4165,1,31,15,27,22,14,0,151,274,37,NA,26,NA,8,627,10,NA,24
"306","Rote Ndao",13132,1918,1129,325,277,288,231,212,21,90,9,17,1356,3610,32,NA,NA,2056,236,809,36,18,10,NA,NA,25,136,7,NA,NA,NA,NA,240,7,28,9
"307","Manggarai Barat",10204,1013,1532,104,1080,870,342,NA,NA,79,NA,14,105,359,17,NA,NA,3132,104,148,56,2,34,66,19,137,330,84,NA,NA,NA,22,419,83,35,17
"308","Sumba Tengah",7642,730,626,24,13,60,83,20,370,276,286,205,549,NA,NA,NA,20,3094,70,264,140,37,4,34,18,12,553,NA,NA,11,NA,23,60,NA,NA,61
"309","Sumba Barat Daya",5785,97,547,144,132,578,154,13,6,64,NA,1,307,72,NA,NA,NA,1491,13,648,20,NA,70,NA,2,77,985,61,1,NA,NA,28,259,NA,6,9
"310","Nagekeo",9163,903,1743,NA,492,791,354,363,16,166,NA,NA,37,6,NA,36,20,2640,205,145,91,113,NA,4,2,86,754,27,NA,2,NA,NA,165,NA,NA,NA
"311","Manggarai Timur",8563,490,1810,75,76,146,302,NA,NA,25,116,NA,75,NA,NA,NA,2,3808,NA,35,24,15,124,20,NA,107,311,NA,NA,NA,NA,7,993,NA,NA,1
"312","Sabu Raijua",13145,2761,3259,57,40,223,214,NA,NA,NA,NA,NA,1427,223,NA,NA,11,3596,32,864,43,40,266,14,NA,3,14,NA,NA,NA,NA,NA,2,NA,56,NA
"313","Malaka",5891,273,1091,96,4,386,87,434,10,22,NA,26,151,NA,NA,NA,NA,2205,194,NA,82,24,NA,NA,9,13,260,4,NA,7,NA,60,447,NA,NA,5
"314","Kota Kupang",13253,1042,3492,90,139,3915,359,25,27,9,58,185,1418,27,NA,NA,NA,1260,305,320,43,30,NA,NA,15,14,324,NA,NA,NA,NA,42,98,8,8,NA
"315","Sambas",17783,534,2946,419,168,1120,56,1502,1624,12,397,413,93,7,254,625,43,3172,1265,484,11,4,266,159,20,47,1208,65,405,13,53,72,269,18,7,29
"316","Bengkayang",16025,267,2798,268,60,1500,92,159,1837,120,711,602,196,NA,344,249,NA,3005,1043,400,NA,16,85,108,9,52,1085,30,315,5,36,145,458,19,3,11
"317","Landak",15573,237,1746,22,11,941,39,102,1576,186,2400,778,31,NA,564,113,35,2923,232,318,NA,89,132,316,30,64,1308,27,231,34,104,146,633,91,NA,117
"318","Mempawah",16455,75,2696,329,209,2486,120,116,1313,42,1292,100,54,NA,135,393,33,2477,1963,577,81,89,24,255,4,57,603,18,189,12,71,75,493,33,NA,36
"319","Sanggau",18832,39,925,235,8,453,88,87,2257,269,3152,1978,25,12,546,111,208,3950,785,322,22,25,4,269,12,20,1225,27,181,4,348,219,816,143,24,44
"320","Ketapang",23104,25,1068,310,194,2905,190,2857,2739,46,854,679,98,33,318,857,65,5309,1595,333,49,21,239,173,25,1,975,20,35,22,293,211,545,20,NA,2
"321","Sintang",18939,8,620,NA,NA,260,129,54,1680,143,3049,2918,45,NA,840,717,NA,5378,122,214,32,6,233,99,26,56,929,3,142,NA,201,246,702,20,NA,69
"322","Kapuas Hulu",15570,23,294,9,NA,53,53,285,1642,188,1097,849,NA,NA,597,267,40,6713,130,243,NA,NA,12,48,1,12,397,NA,87,43,276,128,1936,83,3,59
"323","Sekadau",19588,68,308,NA,28,406,97,311,2012,136,2769,2486,4,62,2968,1175,230,3264,229,30,15,114,30,218,10,19,886,60,240,20,173,144,825,65,NA,185
"324","Melawi",15567,49,469,26,NA,303,47,122,810,6,2660,1614,6,22,1157,851,70,3636,498,53,13,15,15,50,NA,9,1029,156,219,7,108,452,1030,37,14,12
"325","Kayong Utara",19932,187,1623,729,113,3072,101,588,579,11,552,98,87,18,145,826,13,5203,2438,695,144,185,24,128,38,35,861,22,11,NA,106,97,1035,130,6,30
"326","Kubu Raya",13914,175,1922,296,21,2163,197,198,524,36,903,255,183,41,213,125,19,2431,1606,363,24,12,149,113,4,6,654,69,172,4,77,75,730,135,2,18
"327","Kota Pontianak",20059,151,2714,1533,147,2834,21,84,278,7,2335,588,337,16,369,665,48,986,3028,1556,189,40,135,188,12,16,732,13,211,29,71,122,324,213,23,47
"328","Kota Singkawang",23060,648,4454,1338,443,2261,305,264,802,38,682,515,166,NA,98,787,39,2788,3152,1274,9,57,128,280,29,90,1263,28,289,0,94,130,446,86,1,73
"329","Kotawaringin Barat",18506,9,607,59,88,1164,31,1132,2296,41,2397,715,378,20,1034,653,60,2870,2212,405,118,34,177,174,14,48,173,54,88,21,151,242,863,95,3,80
"330","Kotawaringin Timur",18289,NA,1247,34,1231,481,15,1039,2100,74,2318,342,192,NA,2213,1336,193,1771,1068,297,77,94,269,83,368,138,57,54,121,4,119,227,626,56,10,36
"331","Kapuas",16483,NA,340,42,265,591,6,339,2835,NA,2333,251,NA,10,2615,351,NA,3332,476,4,NA,NA,48,30,52,135,41,69,933,NA,140,49,1131,2,NA,61
"332","Barito Selatan",20860,NA,176,NA,121,260,140,147,3387,128,2545,528,48,14,4321,391,70,5102,323,20,9,NA,8,75,5,236,71,31,407,35,405,413,1279,9,88,68
"333","Barito Utara",16661,38,313,10,174,379,48,296,931,42,3237,393,6,121,3613,365,25,2416,409,120,NA,4,119,226,134,143,114,99,810,42,122,250,1480,25,NA,157
"334","Sukamara",24515,46,562,130,5,1517,67,2059,3456,11,2528,1051,334,74,1017,807,81,4650,2160,856,314,113,231,390,31,20,122,199,126,83,604,220,595,32,NA,25
"335","Lamandau",28077,9,642,72,12,771,277,1680,3150,39,5157,866,74,17,3300,1482,166,6161,1125,284,NA,NA,NA,378,12,63,181,51,116,10,520,250,1094,77,3,36
"336","Seruyan",21749,NA,755,NA,118,558,74,637,2719,162,1690,477,74,NA,2416,1317,370,5406,1697,184,87,NA,293,83,2,80,150,2,142,8,428,693,966,34,NA,128
"337","Katingan",24264,62,340,20,169,136,77,210,3912,108,4156,634,89,57,5529,1238,56,4107,858,5,8,5,63,2,19,229,106,2,153,2,453,517,850,9,NA,83
"338","Pulang Pisau",20541,5,447,52,62,144,139,692,4025,111,2706,741,14,NA,2770,540,32,4181,688,46,NA,3,97,153,235,94,76,85,765,66,568,252,701,38,NA,13
"339","Gunung Mas",22827,NA,42,NA,7,107,3,69,1749,18,6301,1004,12,14,5116,1442,65,4604,210,26,147,38,83,28,15,58,33,26,179,NA,102,461,868,NA,NA,NA
"340","Barito Timur",18279,NA,275,NA,265,25,10,82,2582,199,3338,1284,50,33,3048,214,151,3504,354,120,NA,5,61,5,10,418,25,44,475,NA,84,367,1211,11,NA,32
"341","Murung Raya",15004,NA,79,NA,32,NA,13,185,678,25,3648,282,NA,255,4612,635,63,2065,268,130,NA,19,11,217,59,103,19,51,416,4,104,442,567,5,9,9
"342","Kota Palangka Raya",23131,NA,987,130,202,945,34,293,1723,16,5744,903,NA,16,4335,272,163,3159,1413,577,117,11,74,52,98,28,166,57,516,NA,118,202,689,16,19,55
"343","Tanah Laut",18989,63,976,171,460,1949,46,388,3001,144,2710,534,184,NA,1200,317,7,3318,1316,348,19,9,175,35,343,257,24,69,344,NA,123,60,353,23,NA,21
"344","Kota Baru",21450,232,1355,451,295,3496,185,1574,1448,129,1192,383,1472,163,526,522,28,2020,1974,1225,818,137,288,144,152,200,139,69,94,16,NA,176,496,23,23,6
"345","Banjar",17295,53,322,10,102,929,2,71,3129,75,3452,146,17,NA,1177,172,94,4221,639,113,16,6,525,51,407,124,11,22,688,NA,125,155,427,6,NA,10
"346","Barito Kuala",18889,22,590,11,124,1384,13,218,5188,39,1659,67,35,11,1959,193,13,4150,1085,72,3,9,128,59,264,198,38,47,708,20,151,81,271,37,8,33
"347","Tapin",21942,25,759,NA,72,583,38,138,4789,424,3798,282,34,15,1568,109,56,4878,864,424,77,NA,182,99,441,201,9,24,1193,17,275,246,294,21,1,5
"348","Hulu Sungai Selatan",18154,NA,402,NA,118,1528,13,163,3832,40,2261,45,NA,9,643,23,NA,6087,262,46,NA,NA,233,133,165,88,NA,42,1356,4,165,216,240,12,NA,26
"349","Hulu Sungai Tengah",17640,4,22,13,285,1598,9,39,3109,66,2863,122,4,7,1360,126,65,4395,596,61,16,12,NA,25,564,224,9,46,1218,4,112,488,169,7,3,NA
"350","Hulu Sungai Utara",13610,26,66,20,82,278,NA,10,1905,6,2054,74,NA,NA,664,53,12,6197,385,63,NA,NA,6,7,117,182,7,36,708,14,51,143,437,5,NA,3
"351","Tabalong",18261,79,734,3,328,938,44,179,2221,84,4486,337,19,0,1500,60,21,3387,799,190,8,11,55,81,96,304,38,46,1328,42,196,119,451,37,22,20
"352","Tanah Bumbu",16717,51,1489,109,259,2380,75,853,2049,250,1866,519,160,40,590,268,28,2407,872,668,208,9,77,44,103,52,124,42,253,9,56,70,691,30,7,7
"353","Balangan",16284,16,209,20,341,1164,NA,129,1807,48,4349,162,9,50,1663,329,55,2881,348,260,NA,10,28,77,148,173,NA,6,1314,5,54,230,394,0,NA,5
"354","Kota Banjarmasin",18581,13,1156,78,198,1736,5,250,2551,114,3497,392,138,8,1976,332,100,1377,1292,750,24,34,747,83,520,18,58,27,506,11,59,207,253,30,19,23
"355","Kota Banjar Baru",19251,NA,1082,11,170,1809,50,155,2002,9,4920,573,28,7,1672,350,95,2031,1458,646,35,16,139,77,492,126,78,22,493,9,70,113,461,35,7,13
"356","Paser",20301,69,1894,80,814,1186,174,2701,855,101,2682,844,912,103,915,568,67,1917,1752,692,386,181,136,27,23,128,55,60,184,44,70,47,546,13,NA,79
"357","Kutai Barat",21772,60,1566,NA,5,371,107,904,1828,82,4555,692,7,85,2100,218,273,6384,559,156,78,NA,15,89,1,20,NA,19,151,1,235,87,978,21,NA,124
"358","Kutai Kartanegara",17837,95,2204,60,169,780,211,1109,1379,225,2560,1026,395,140,1305,204,150,2924,980,323,229,90,104,49,NA,56,68,12,67,14,108,73,659,14,13,41
"359","Kutai Timur",21153,769,3002,46,142,898,277,1912,1158,53,2108,566,730,114,866,523,109,3431,1408,786,178,57,70,228,NA,150,499,5,116,55,168,224,496,7,NA,2
"360","Berau",21227,176,1861,130,135,1943,325,1605,386,324,723,438,1266,162,313,498,50,4988,3161,764,482,39,221,40,6,79,147,9,17,4,6,223,594,90,NA,22
"361","Penajam Paser Utara",16906,51,1688,106,822,1558,201,2637,599,214,492,558,187,265,121,425,56,3271,1657,490,220,56,142,16,NA,26,137,118,39,18,74,10,593,5,NA,54
"362","Mahakam Ulu",24893,91,243,NA,46,110,94,423,984,155,5465,606,15,757,6888,170,311,6233,403,14,23,104,14,NA,1,NA,16,16,99,4,253,654,682,2,NA,15
"363","Kota Balikpapan",23368,523,2789,275,819,2277,332,1393,66,111,2192,1053,1528,50,267,400,74,4019,2529,1141,617,102,44,49,13,53,96,25,90,6,11,54,343,17,9,0
"364","Kota Samarinda",15648,226,1517,55,196,1154,242,807,442,81,3256,879,220,62,922,189,18,2958,1303,304,79,41,12,49,81,7,79,29,78,NA,42,114,176,15,NA,15
"365","Kota Bontang",23672,195,2930,83,121,2113,552,1734,60,175,1006,482,997,1282,193,97,168,6890,2170,1094,440,126,NA,93,NA,21,146,5,12,0,4,55,390,15,19,2
"366","Malinau",19431,289,732,NA,21,846,58,3630,443,660,586,845,342,95,1939,188,75,5991,1147,62,405,73,41,NA,NA,22,152,45,NA,18,NA,205,418,58,22,22
"367","Bulungan",22724,305,1152,1,7,908,44,4495,298,907,381,397,1158,24,1459,75,NA,4654,3621,365,269,207,146,52,3,33,93,2,NA,30,23,189,1114,290,NA,24
"368","Tana Tidung",27525,130,305,10,NA,431,166,6508,283,931,228,843,2274,13,168,375,16,5094,6629,412,271,165,453,4,2,9,69,5,NA,6,1,88,1120,388,NA,130
"369","Nunukan",19300,91,1530,38,NA,915,114,5652,1207,550,146,264,533,195,155,129,183,4517,851,442,153,197,168,14,NA,28,324,NA,18,44,NA,57,698,22,NA,65
"370","Kota Tarakan",26587,41,1806,23,17,825,227,5181,38,1692,83,68,2694,15,27,1082,42,4963,4787,445,895,403,163,16,NA,9,106,NA,NA,35,2,101,638,143,7,13
"371","Bolaang Mongondow",13919,1095,5891,210,1099,776,273,49,63,1438,178,18,198,75,NA,16,NA,347,170,164,NA,NA,35,NA,56,1157,315,44,NA,11,5,114,101,NA,23,NA
"372","Minahasa",16018,2412,5460,203,1214,509,80,16,85,2539,20,NA,39,67,NA,3,6,256,52,177,5,NA,NA,37,70,1872,495,91,NA,NA,NA,119,173,2,NA,17
"373","Kepulauan Sangihe",17277,969,6325,71,3904,2831,21,8,NA,84,107,NA,783,121,13,48,74,1193,52,92,NA,NA,NA,119,22,306,NA,57,NA,NA,NA,65,11,NA,NA,NA
"374","Kepulauan Talaud",20425,1338,8624,164,1903,2297,32,10,93,315,68,49,2454,690,7,11,42,862,542,87,142,154,54,41,NA,120,84,17,NA,NA,8,167,52,NA,NA,NA
"375","Minahasa Selatan",16275,1268,7736,220,851,260,147,67,27,1928,45,NA,218,79,NA,20,35,1092,79,143,0,NA,0,2,26,1224,648,23,NA,5,NA,12,115,NA,NA,3
"376","Minahasa Utara",17545,1191,6162,395,2282,1277,113,52,42,2605,92,NA,491,128,NA,NA,NA,1058,65,200,5,40,NA,54,NA,713,139,64,NA,NA,NA,138,208,NA,NA,29
"377","Bolaang Mongondow Utara",17619,2303,6106,250,2003,510,515,23,117,882,81,23,1108,399,NA,4,25,1093,405,276,275,89,102,NA,14,369,474,41,NA,NA,NA,20,100,NA,11,NA
"378","Siau Tagulandang Biaro",12924,150,5025,273,2649,317,9,NA,13,189,31,NA,1270,NA,NA,NA,4,2531,68,216,NA,NA,NA,NA,12,106,6,NA,NA,NA,9,12,27,NA,NA,7
"379","Minahasa Tenggara",17807,637,8071,451,1587,1553,170,NA,123,2169,147,8,206,170,NA,NA,69,572,62,32,15,47,NA,NA,13,1341,191,28,NA,NA,NA,25,104,NA,NA,15
"380","Bolaang Mongondow Selatan",12249,877,5809,154,1952,503,72,16,34,43,NA,NA,919,188,NA,NA,NA,306,78,1020,29,NA,NA,NA,2,78,151,NA,NA,15,NA,NA,NA,NA,NA,NA
"381","Bolaang Mongondow Timur",16026,1075,5444,192,1076,1849,641,105,14,1465,124,52,276,379,NA,9,46,775,489,285,38,NA,NA,10,16,1058,386,48,NA,12,NA,114,39,7,4,NA
"382","Kota Manado",19966,772,8780,155,1929,966,266,113,147,2758,149,27,402,76,7,4,13,1837,312,552,NA,NA,7,9,NA,322,104,14,NA,11,NA,148,66,NA,NA,21
"383","Kota Bitung",17108,441,5859,213,4358,954,143,11,60,1505,70,NA,241,41,NA,36,46,1759,84,625,NA,NA,NA,25,NA,285,76,18,18,NA,NA,47,162,NA,30,3
"384","Kota Tomohon",18394,990,6195,621,3013,639,92,2,44,1609,66,NA,238,10,NA,NA,NA,1001,73,106,NA,43,NA,28,72,2039,892,171,15,4,NA,58,345,NA,NA,27
"385","Kota Kotamobagu",12123,303,2714,51,1858,1306,309,14,NA,800,437,NA,174,56,9,NA,33,110,497,201,NA,NA,13,NA,12,2738,311,51,15,NA,6,35,50,NA,15,5
"386","Banggai Kepulauan",14041,929,4419,24,1508,1743,117,NA,18,10,NA,18,822,636,23,NA,8,2897,66,333,156,21,16,14,3,157,13,28,NA,NA,NA,NA,46,NA,10,5
"387","Banggai",11740,705,5319,38,1313,842,236,107,4,280,13,32,432,131,15,11,32,1509,69,200,20,NA,11,5,NA,114,171,41,1,NA,NA,9,56,9,8,5
"388","Morowali",23114,1055,6859,88,1257,2487,580,1202,117,149,16,103,2549,736,31,NA,24,2033,1314,950,483,31,55,47,10,358,315,83,2,2,NA,NA,45,86,46,NA
"389","Poso",14447,488,3164,95,3893,1149,114,507,246,1554,166,323,40,12,NA,NA,58,595,300,443,5,NA,2,7,20,89,707,83,7,42,3,57,259,4,15,NA
"390","Donggala",11682,845,3449,75,2133,516,217,416,73,110,31,11,499,170,NA,NA,15,1319,306,389,89,5,NA,9,27,89,448,92,14,15,5,28,268,12,NA,8
"391","Toli-Toli",11773,390,2407,72,1890,1216,242,260,90,62,31,12,330,297,NA,NA,2,3014,534,300,30,63,50,19,11,52,177,53,NA,9,8,18,131,NA,NA,2
"392","Buol",11288,261,2104,181,2861,473,130,201,276,209,123,1,257,103,NA,NA,7,2945,189,262,14,8,3,9,15,35,300,61,4,NA,NA,51,197,NA,NA,8
"393","Parigi Moutong",11828,488,2318,52,3262,950,487,644,17,199,29,52,432,413,NA,8,6,274,504,828,89,23,46,12,7,34,517,50,2,4,NA,7,67,5,NA,3
"394","Tojo Una-Una",12173,752,3637,36,3928,370,159,35,15,32,17,NA,409,1080,1,NA,NA,424,200,338,52,3,2,23,18,14,206,88,35,13,NA,13,249,NA,8,15
"395","Sigi",9964,1057,2014,125,953,310,270,1197,108,1133,215,67,24,NA,NA,NA,5,422,183,371,NA,6,11,35,14,62,751,79,23,NA,NA,203,215,73,NA,39
"396","Banggai Laut",13277,679,3084,216,1093,2139,123,19,NA,NA,NA,10,407,511,NA,NA,20,3288,76,865,259,7,4,3,NA,74,NA,10,NA,10,NA,NA,340,NA,NA,40
"397","Morowali Utara",18272,1908,2435,51,399,3676,696,1741,1296,1380,141,288,134,227,24,116,30,1734,283,428,39,64,40,149,5,102,527,33,NA,78,38,9,203,NA,NA,NA
"398","Kota Palu",13299,1458,2172,67,3590,584,375,908,30,380,88,34,364,228,NA,NA,18,827,721,755,9,4,NA,24,13,95,347,24,NA,4,NA,15,160,7,NA,NA
"399","Kepulauan Selayar",13551,146,2327,43,416,837,515,228,6,5,9,31,2364,1664,5,49,NA,2970,622,462,102,25,21,NA,NA,25,58,3,3,NA,3,NA,580,19,15,2
"400","Bulukumba",15213,208,2156,244,1423,1306,699,2166,69,292,56,128,338,209,NA,NA,8,2492,1214,851,250,75,37,63,18,347,420,43,NA,13,7,12,47,9,12,NA
"401","Bantaeng",14659,135,636,31,927,2187,768,2698,NA,106,7,11,491,188,1,NA,17,3687,1010,336,57,80,14,8,13,15,761,121,NA,80,NA,33,244,NA,NA,NA
