"","kabupaten_kota","minyak_dan_kelapa","minyak_kelapa","minyak_goreng_kelapa_sawit_bunga_matahari","kelapa_tidak_termasuk_santan_instan","minyak_dan_kelapa_lainnya"
"429","Wakatobi",2957,438,2154,361,4
"430","Kolaka Utara",3375,101,3089,182,3
"431","Buton Utara",3337,101,2843,378,14
"432","Konawe Utara",2903,97,2512,271,24
"433","Kolaka Timur",3518,110,3004,403,1
"434","Konawe Kepulauan",2484,536,1697,246,5
"435","Muna Barat",2758,180,2278,297,3
"436","Buton Tengah",2173,373,1587,213,NA
"437","Buton Selatan",2004,125,1640,231,8
"438","Kota Kendari",2987,255,2473,238,20
"439","Kota Baubau",2555,61,2249,215,30
"440","Boalemo",4058,135,3517,389,17
"441","Gorontalo",3512,59,2997,443,13
"442","Pohuwato",3885,56,3618,204,7
"443","Bone Bolango",3676,53,3392,195,35
"444","Gorontalo Utara",4340,96,3965,276,3
"445","Kota Gorontalo",3948,176,3641,130,1
"446","Majene",3203,726,2082,299,95
"447","Polewali Mandar",2840,588,1913,310,30
"448","Mamasa",2764,666,1912,173,12
"449","Mamuju",3041,273,2517,251,0
"450","Mamuju Utara",3834,404,3180,230,19
"451","Mamuju Tengah",3307,238,2904,162,4
"452","Maluku Tenggara Barat",3509,545,2538,368,59
"453","Maluku Tenggara",3773,509,2394,814,55
"454","Maluku Tengah",4323,1023,2688,587,26
"455","Buru",4083,1139,2692,250,2
"456","Kepulauan Aru",3784,644,2684,445,10
"457","Seram Bagian Barat",3981,982,2270,629,100
"458","Seram Bagian Timur",4295,1191,2558,545,NA
"459","Maluku Barat Daya",3374,648,2174,552,NA
"460","Buru Selatan",3864,1416,1758,682,8
"461","Kota Ambon",3870,465,2901,455,49
"462","Kota Tual",3078,285,2181,603,9
"463","Halmahera Barat",4394,409,3588,397,NA
"464","Halmahera Tengah",3765,1062,2222,477,4
"465","Kepulauan Sula",3600,1440,1777,363,20
"466","Halmahera Selatan",4277,1144,2511,623,NA
"467","Halmahera Utara",5103,1112,3303,671,17
"468","Halmahera Timur",5076,1774,3068,224,10
"469","Pulau Morotai",5647,3396,1695,549,7
"470","Pulau Taliabu",3587,1468,1649,470,NA
"471","Kota Ternate",3916,1054,2673,188,1
"472","Kota Tidore Kepulauan",4587,821,3430,334,1
"473","Fakfak",5165,1045,3823,255,42
"474","Kaimana",4881,623,3998,258,2
"475","Teluk Wondama",5526,952,4322,252,NA
"476","Teluk Bintuni",5386,194,5109,82,NA
"477","Manokwari",4388,242,3975,144,27
"478","Sorong Selatan",2781,109,2571,100,3
"479","Sorong",5079,433,4213,420,13
"480","Raja Ampat",5613,1476,4007,128,2
"481","Tambrauw",3990,459,3475,55,NA
"482","Maybrat",5183,235,4939,9,NA
"483","Manokwari Selatan",5355,270,4945,132,8
"484","Pegunungan Arfak",3352,467,2886,NA,NA
"485","Kota Sorong",4904,23,4647,218,16
"486","Merauke",5126,179,4587,354,5
"487","Jayawijaya",6162,47,6062,53,NA
"488","Jayapura",4875,173,4507,188,7
"489","Nabire",6069,398,5043,272,355
"490","Kepulauan Yapen",6140,775,5086,278,NA
"491","Biak Numfor",4190,419,3613,143,15
"492","Paniai",4544,68,4261,NA,215
"493","Puncak Jaya",14621,3622,10999,NA,NA
"494","Mimika",4937,331,4213,163,229
"495","Boven Digoel",4358,56,4004,279,19
"496","Mappi",2848,47,2680,121,NA
"497","Asmat",4080,260,3651,169,NA
"498","Yahukimo",3239,115,3124,NA,NA
"499","Pegunungan Bintang",3740,2,3738,NA,NA
"500","Tolikara",6644,46,6598,NA,NA
"501","Sarmi",3310,300,2999,10,NA
"502","Keerom",4011,102,3679,196,34
"503","Waropen",5946,269,5614,63,NA
"504","Supiori",4684,423,4239,22,NA
"505","Mamberamo Raya",3315,392,2770,153,NA
"506","Nduga",8694,147,7967,NA,580
"507","Lanny Jaya",8941,18,8923,NA,NA
"508","Mamberamo Tengah",2578,14,2565,NA,NA
"509","Yalimo",8366,350,8005,11,NA
"510","Puncak",17990,133,17857,NA,NA
"511","Dogiyai",2881,65,2795,21,NA
"512","Intan Jaya",9880,175,9705,NA,NA
"513","Deiyai",4634,8,4603,NA,23
"514","Kota Jayapura",4256,295,3832,101,28
